speaker_id,f1,f2,f3,vowel,gender,word,c_initial,c_final,v_length,group,ci,cf,group2
M03,807.629622,1442.252641,,a,m,kahp,back,front,long,bf,,,
M03,379.787,873.4536,,u,m,duhp,front,front,long,ff,,,
M03,435.8,792.564988,,u,m,kuk,back,back,short,bb,,,
M03,413.489982,951.986385,,u,m,duk,front,back,short,fb,,,
M03,345.534647,714.251289,,u,m,kuhpene,back,front,long,bf,,,
M03,355.39791,725.224297,,u,m,kuht,back,back,long,bb,,,
M03,414.2361,900.041967,,u,m,duhkihla,front,back,long,fb,,,
M03,346.6559,2133.615,,i,m,duhkihla,back,front,long,bf,,,
M03,453.8,1645.7497,,i,m,pik,front,back,short,fb,,,
M03,476.54,1714.829,,i,m,pip,front,front,short,ff,,,
M03,479.782284,1274.204789,,i,m,kik,back,back,short,bb,,,
M03,387.348969,2122.599351,,i,m,kihk,back,back,long,bb,,,
M03,490.8556,1586.096845,,i,m,kipar,back,front,short,bf,,,
M03,379.266938,2173.721945,,i,m,dihp,front,front,long,ff,,,
M03,456.46,819.949145,,o,m,kokus,back,back,short,bb,,,
M03,385.426936,2137.334774,,i,m,kihd,back,front,long,bf,,,
M03,480.62,1093.63191,,o,m,popohl,front,front,short,ff,,,
M03,564.322945,959.526699,,oa,m,koakon,back,back,short,bb,,,
M03,483.19254,830.285984,,o,m,kohp,back,front,short,bf,,,
M03,620.76,1311.32,,oa,m,poad,front,front,short,ff,,,
M03,585.247,959.001647,,oa,m,koakon,back,back,short,bb,,,
M03,512.897369,1042.785,,o,m,kopil,back,front,short,bf,,,
M03,477.023646,853.36544,,o,m,dohpeseng,front,front,long,ff,,,
M03,614.682663,1243.08716,,oa,m,koadi,back,front,short,bf,,,
M03,474.977637,809.036022,,o,m,kohke,back,back,long,bb,,,
M03,595.654356,1074.011605,,oa,m,poak,front,back,short,fb,,,
M03,678.399881,1130.169573,,oa,m,koahpi,back,front,long,bf,,,
M03,662.771744,1070.534231,,oa,m,poahd,front,front,long,ff,,,
M03,640.897724,983.167182,,oa,m,koahkoa,back,back,long,bb,,,
M03,569.884836,1465.78968,,e,m,peki,front,back,short,fb,,,
M03,560.64157,1469.776565,,e,m,pepe,front,front,short,ff,,,
M03,566.645117,1398.64194,,e,m,keke,back,back,short,bb,,,
M03,540.69,1801.526,,e,m,kehk,back,back,long,bb,,,
M03,522.405813,1761.315912,,e,m,kep,back,front,short,bf,,,
M03,502.571325,1843.47,,e,m,pehpe,front,front,long,ff,,,
M03,537.747,1808.579,,e,m,kehp,back,front,long,bf,,,
M03,500.21,1843.59429,,e,m,pehkiek,front,back,long,fb,,,
M03,515.433485,1817.281237,,e,m,kehp,back,front,long,bf,,,
M03,477.147127,1001.281472,,u,m,kull,back,front,short,bf,,,
M03,561.066,1497.59,,e,m,dek,front,back,short,fb,,,
M03,465.695,1527.8,,i,m,pik,front,back,short,fb,,,
M03,727.418,1431.012945,,a,m,pap,front,front,short,ff,,,
M03,622.81416,1104.009,,oa,m,poar,front,back,short,fb,,,
M03,638.54,1058.237968,,oa,m,koal,back,front,short,bf,,,
M03,547.622756,969.902744,,o,m,pok,front,back,short,fb,,,
M03,801.451,1365.0858,,a,m,pahpa,front,front,long,ff,,,
M03,496.608163,1842.768396,,e,m,dehk,front,back,long,fb,,,
M03,379.897543,1056.198105,,u,m,tuki,back,back,short,bb,,,
M03,521.911752,952.982695,,o,m,pohk,front,back,long,fb,,,
M03,494.300017,906.355,,o,m,pohr,front,back,long,fb,,,
M03,357.476,2081.146935,,i,m,pihk,front,back,long,fb,,,
M03,397.69768,961.18,,u,m,tuhke,back,back,long,bb,,,
M03,694.87757,1407.758886,,a,m,pak,front,back,short,fb,,,
M03,606.6596,962.713615,,oa,m,koahl,back,front,long,bf,,,
M03,717.319827,1333.939949,,a,m,kak,back,back,short,bb,,,
M03,779.45,1423.876675,,a,m,pahk,front,back,long,fb,,,
M03,716.79,1358.322007,,a,m,kapa,back,front,short,bf,,,
M03,790.666768,1396.0437,,a,m,kahp,back,front,long,bf,,,
M03,447.0896,1077.438,,u,m,dul,front,front,short,ff,,,
M03,785.6297,1428.99797,,a,m,kahk,back,back,long,bb,,,
M03,426.043637,855.25,,u,m,duk,front,back,short,fb,,,
M03,395.218756,798.84511,,u,m,duhp,front,front,long,ff,,,
M03,455.056847,790.467981,,u,m,kuk,back,back,short,bb,,,
M03,415.035813,944.216025,,u,m,duhkihla,front,back,long,fb,,,
M03,375.6383,741.647,,u,m,kuhpene,back,front,long,bf,,,
M03,371.947255,752.087527,,u,m,kuht,back,back,long,bb,,,
M03,415.103725,1340.576384,,i,m,kik,back,back,short,bb,,,
M03,482.650631,1260.614379,,i,m,pik,front,front,short,bf,,,
M03,466.954438,1471.723698,,i,m,pip,front,front,short,ff,,,
M03,387.256452,2095.627454,,i,m,dihp,front,front,long,ff,,,
M03,405.707941,2125.88198,,i,m,kihk,back,back,long,bb,,,
M03,495.76098,1398.34,,i,m,kipar,back,front,short,bf,,,
M03,473.71744,1238.03399,,o,m,popohl,front,front,short,ff,,,
M03,499.269,883.299666,,o,m,kokus,back,back,short,bb,,,
M03,363.939292,2131.577,,i,m,kihd,back,front,long,bf,,,
M03,651.688756,1337.8,,oa,m,poad,front,front,short,ff,,,
M03,590.7477,960.172119,,oa,m,koakon,back,back,short,bb,,,
M03,458.2,891.95,,o,m,kohp,back,front,long,bf,,,
M03,466.597,992.629977,,o,m,dohpeseng,front,front,long,ff,,,
M03,550.915445,981.785435,,oa,m,koakon,back,back,short,bb,,,
M03,454.419,1036.748,,o,m,kopil,back,front,short,bf,,,
M03,615.955694,1103.2,,oa,m,poak,front,back,short,fb,,,
M03,598.591831,1320.54,,oa,m,koadi,back,front,short,bf,,,
M03,450.89,868.619583,,o,m,kohke,back,back,long,bb,,,
M03,639.846,1060.05,,oa,m,koahkoa,back,back,long,bb,,,
M03,630.866888,1041.8324,,oa,m,koahpi,back,front,long,bf,,,
M03,642.735,1085.583,,oa,m,poahd,front,front,long,ff,,,
M03,553.2719,1473.8065,,e,m,keke,back,back,short,bb,,,
M03,571.252245,1508.877614,,e,m,peki,front,back,short,fb,,,
M03,573.386093,1502.496861,,e,m,pepe,front,front,short,ff,,,
M03,514.1948,1728.864,,e,m,pehpe,front,front,long,ff,,,
M03,501.828244,1563.206544,,e,m,kehk,back,back,long,bb,,,
M03,589.367339,1477.832124,,e,m,kep,back,front,short,bf,,,
M03,556.437989,1634.292352,,e,m,kehp,back,front,long,bf,,,
M03,539.703584,1664.769398,,e,m,kehp,back,front,long,bf,,,
M03,546.36268,1792.274565,,e,m,pehkiek,front,back,long,fb,,,
F02,904.908373,1711.442,,a,f,pap,front,front,short,ff,,,
F02,821.08,1808.429541,,e,f,dek,front,back,short,fb,,,
F02,501.714272,1729.19,,i,f,pik,front,back,short,fb,,,
F02,866.131,1433.487484,,o,f,pok,front,back,short,fb,,,
F02,817.219383,1153.466332,,oa,f,poar,front,back,short,fb,,,
F02,769.055,1112.636737,,oa,f,koal,back,front,short,bf,,,
F02,510.19,1359.7,,u,f,tuki,back,back,short,bb,,,
F02,975.453622,1559.82,,a,f,pahpa,front,front,long,ff,,,
F02,650.78319,2501.859933,,e,f,dehk,front,back,long,fb,,,
F02,528.401894,2580.1,,i,f,pihk,front,back,long,fb,,,
F02,616.73,842.454786,,o,f,pohk,front,back,long,fb,,,
F02,813.363756,1132.4845,,oa,f,poahr,front,back,long,fb,,,
F02,799.98,1177.345984,,oa,f,koahl,back,front,long,bf,,,
F02,473.831187,981.5328,,u,f,tuhke,back,back,long,bb,,,
F02,983.93,1655.17,,a,f,pak,front,back,short,fb,,,
F02,878.0285,1584.057,,a,f,kapa,back,front,short,bf,,,
F02,985.412627,1611.721698,,a,f,kak,back,back,short,bb,,,
F02,1020.693351,1573.283313,,a,f,pahk,front,back,long,fb,,,
F02,984.2558,1649.836249,,a,f,kahk,back,back,long,bb,,,
F02,1066.586,1594.952953,,a,f,kahp,back,front,long,bf,,,
F02,524.456168,1209.286252,,u,f,dul,front,front,short,ff,,,
F02,579.398,1123.322677,,u,f,kuk,back,back,short,bb,,,
F02,590.718439,1136.53,,u,f,duk,front,back,short,fb,,,
F02,478.542345,962.989374,,u,f,duhp,front,front,long,ff,,,
F02,510.712344,789.042277,,u,f,kuht,back,back,long,bb,,,
F02,501.49,837.277231,,u,f,duhkihla,front,back,long,bf,,,
F02,471.169959,951.236752,,u,f,kuhpene,back,front,long,bf,,,
F02,556.716161,1895.47776,,i,f,pip,front,front,short,ff,,,
F02,534.99,1745.157,,i,f,kik,back,back,short,bb,,,
F02,563.712,1699.688,,i,f,pik,front,back,short,fb,,,
F02,524.153779,1603.813297,,i,f,kipar,back,front,short,bf,,,
F02,557.19464,2766.14,,i,f,dihp,front,front,long,ff,,,
